Date,Close
10/2/2023 16:00:00,134.17
10/3/2023 16:00:00,132.43
10/4/2023 16:00:00,135.24
10/5/2023 16:00:00,135.07
10/6/2023 16:00:00,137.58
10/9/2023 16:00:00,138.42
10/10/2023 16:00:00,138.06
10/11/2023 16:00:00,140.55
10/12/2023 16:00:00,138.97
10/13/2023 16:00:00,137.36
10/16/2023 16:00:00,139.1
10/17/2023 16:00:00,139.72
10/18/2023 16:00:00,137.96
10/19/2023 16:00:00,137.75
10/20/2023 16:00:00,135.6
10/23/2023 16:00:00,136.5
10/24/2023 16:00:00,138.81
10/25/2023 16:00:00,125.61
10/26/2023 16:00:00,122.28
10/27/2023 16:00:00,122.17
10/30/2023 16:00:00,124.46
10/31/2023 16:00:00,124.08
